"hawker","type","stars","votes","status","address","datetime"
"Cha Dian 茶點小吃","Hawker Stall ","4.3","25","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"三好骨汤面(San Hao Gu Tang Mian)","Hawker Stall ","4.6","24","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Amoy Nasi Lemak.","Hawker Stall ","4.8","24","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Teo Heng Teochew Porridge","Hawker Stall ","4.4","23","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"新港粥品 New Hong Kong Congee","Hawker Stall ","4.4","23","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Syed Mohamed Drinks","Hawker Stall ","4.9","22","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"The Original Vadai Shop","Hawker Stall ","4.0","22","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Luan Jie Mei Shi","Hawker Stall ","4.6","22","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Jin Hai Cooked Food","Hawker Stall ","4.7","22","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Traditional Teochew Handmade Fishball & Mushroom Minced Meat Noodle","Hawker Stall ","4.3","21","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"老豆 Lao Dou Soya Beancurd & Drink","Hawker Stall ","4.3","18","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Xiang Xiang Hainanese Chicken Rice","Hawker Stall ","3.4","16","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Bismillah Food Stall","Hawker Stall ","2.9","16","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Wang wang fish soup 旺旺手工面鱼汤","Hawker Stall ","3.9","15","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Li Xing Nasi Lemak (#02-81)","Hawker Stall ","4.4","15","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Warung Parsanga","Hawker Stall ","4.1","14","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Nora’s Kitchen","Hawker Stall ","3.1","14","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Xin Heng Handmade Noodle","Hawker Stall ","4.3","14","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Bismi Tea Stall","Hawker Stall ","4.6","14","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Amoy Street 02-118 Porridge","Hawker Stall ","4.7","14","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Mizu Shake Bar (水みず)","Hawker Stall ","4.8","13","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Healthy Vegetarian Food","Vegetarian ","4.8","13","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Chef B Western Delight","Hawker Stall ","4.0","12","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Hakka Yong Dou Fu 客家酿豆腐","Hawker Stall ","4.2","12","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Wen Xiu Ji 吻秀基面家","Hawker Stall ","3.8","12","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Indo Bakmi","Indonesian ","4.7","11","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Amoy Roasted Delights","Hawker Stall ","4.0","11","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Hong Kong Style Stewed Soup and Steamed Rice 金得運香港燉湯盅仔飯","Hawker Stall ","4.5","11","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"The Salad Corner","Hawker Stall ","4.5","11","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"308 Coffee Shop","Hawker Stall ","4.5","11","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"33 Bean & Juices","Juice ","4.9","11","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Cai Bao Fried Carrot Cake (#01-35)","Hawker Stall ","3.1","10","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Xiang Chang Coffee Shop","Hawker Stall ","4.7","9","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"友记 Yew Kee Duck Rice","Hawker Stall ","2.8","9","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"銮姐美食","Hawker Stall ","4.4","9","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Yuguo Curry Rice","Hawker Stall ","4.3","8","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"聯合燒臘飯麵","Hawker Stall ","5.0","7","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Coffee-Licious 101","Coffee shop ","4.1","7","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Traditional Vegetarian Beehoon 01-52","Restaurant ","4.4","7","Inactive","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Tai Seng Noodle House","Hawker Stall ","4.7","7","Inactive","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Al-Kadir Drink Stall","Hawker Stall ","4.7","6","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Soon Lee","Hawker Stall ","4.5","6","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Meng Kee Fish Soup","Hawker Stall ","3.6","5","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Rejoice Fruit Juice","Hawker Stall ","3.4","5","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Wee Coffee","Hawker Stall ","4.8","4","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Tai Sun Coffee","Hawker Stall ","5.0","4","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"亞良怡保沙河粉","Hawker Stall ","5.0","3","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Hong Kong Street Cooked Food","Hawker Stall ","4.3","3","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Amoy Street Chinese Cuisine","Hawker Stall ","3.0","2","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Korean Food @ Amoy Food Center","Coffee shop ","4.0","1","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Big prawn noodle by Diana & Agnes","Hawker Stall ","5.0","1","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Mei Mei Soya Milk Drink & Beancurd","Coffee shop ","3.0","1","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Amoy Uncle Char Kway Teow","Coffee shop ","4.0","1","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Delight Ricebowl","Hawker Stall ","4.0","1","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Happy yummy","Hawker Stall ","4.0","1","Inactive","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"#01-53 Fresh Juice","Hawker Stall ","4.0","1","Inactive","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Teh Tarik Sugarcane Juice","Hawker Stall ","4.0","1","Inactive","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Amoy Ban Mian & Fish Soup","Hawker Stall ","4.0","1","Inactive","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"金记","Hawker Stall ","4.0","1","Inactive","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Old Chai Chee Mince Meat Noodles","Hawker Stall ","4.0","1","Inactive","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Mora's kitchen","Hawker Stall ","4.0","1","Inactive","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"食在好便宜","Hawker Stall ","4.0","1","Inactive","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Westinn","Hawker Stall ","4.0","1","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Lin Traditional Chicken Rice","Hawker Stall ","4.0","1","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Dan’s Kitchen D’Original Indonesian Cuisine","Hawker Stall ","4.0","1","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Anees Drinks Stall","Hawker Stall ","4.0","1","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"海記 椰漿飯 經濟米粉","Hawker Stall ","4.0","1","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Selera Rasa Nasi Lemak","Hawker Stall ","4.0","467","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Noo Cheng Adam Road Big Prawn Mee","Hawker Stall ","3.4","229","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"No. 1 Adam's Nasi Lemak","Hawker Stall ","3.4","229","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
"Selamat Datang Warong Pak Sapari or WarongPakSapari","Hawker Stall ","4.1","106","Active","Adam Food Centre 2, Adam Road, S(289876)","2024-10-06"
